,id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
848,848,0,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995,scalable parallel data mining for association rules,"h eui-hong , g karypis","ieee transactions on knowledge and data engineering ,",
849,849,0,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994,the indiana center for database systems,l hall,"sigmod record ,",1991.0
850,850,0,approximate query processing : taming the terabytes,"m garofalakis , p gibbons",vldb,2001,approximate query processing using wavelets [ c ],k chakrabarfiâ ? ¦,"proc of vldb ,",
851,851,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,toward a general spatial data model for an object-oriented dbms .,"f manola , ja orenstein","vldb ,",1986.0
852,852,0,unisql/x unified relational and object-oriented database system,w kim,sigmod conference,1994,optimizing queries with universal quantification in object-oriented and object-relational databases,"j claussen , a kemper , g moerkotte , k peithner","vldb ,",1997.0
853,853,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb,2002,the x-tree : an index structure for high-dimensional data [ a ],"b stefan , da keim , hp kriegel","proceedings of the 22nd international conference on very & hellip ; ,",1996.0
854,854,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,application of object-oriented databases to geographic information systems,"s roberts , m gahegan , j hogg , b hoyle","information and software technology ,",1991.0
855,855,1,what can hierarchies do for data warehouses ?,"h jagadish , l lakshmanan , d srivastava",vldb,1999,what can hierarchies do for data warehouses ?,"hv jagadish , lvs lakshmanan , d srivastava","proceedings of the international conference on very large & hellip ; ,",1999.0
856,856,0,sampling large databases for association rules,h toivonen,vldb,1996,accelerating em for large databases,"d heckerman , c meek , b thiesson",,
857,857,0,efficiently instantiating view-objects from remote relational databases,"b lee , g wiederhold",vldb j.,1994,efficiently processing queries on interval-and-value tuples in relational databases,"j enderle , n schneider , t seidl","proceedings of the 31st international conference on very & hellip ; ,",2005.0
858,858,0,advanced xml data processing - guest editor s introduction,k aberer,sigmod record,2001,guest editor s introduction : information customization,j mostafa,"intelligent systems , ieee [ see also ieee expert ] ,",2002.0
859,859,0,an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,towards a semantic view of an extended entity-relationship model,"g martin , h uwe","acm transactions on database systems ,",
860,860,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,an efficient algorithms for mining association rules in large databases . proceedings of the 21th,"a savasere , e miecinski , s navathe",,1995.0
861,861,0,eager aggregation and lazy aggregation,"w yan , p larson",vldb,1995,online aggregation,m raitner,,
862,862,0,converting relational to object-oriented databases,j fong,sigmod record,1997,integrating xml data with relational databases,"wc lee , g mitchell , x zhang","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
863,863,0,t2 : a customizable parallel database for multi-dimensional data,"c chang , a acharya , a sussman , j saltz",sigmod record,1998,a foundation for multi-dimensional databases,"m gyssens , lvs lakshmanan",,
864,864,0,declarative updates of relational databases,w chen,acm trans . database syst .,1995,estimating the cost of updates in a relational database,"m schkolnick , p tiberio","acm transactions on database systems ( tods ) ,",1985.0
865,865,0,answering queries using views : a survey,a halevy,vldb j.,2001,answering sql queries using materialized views,"s dar , hv jagadish , ay levy , d srivastava","proc . 22nd international conference on very large data bases & hellip ; ,",
866,866,0,flexible support for multiple access control policies,"s jajodia , p samarati , m sapino , v subrahmanian",acm trans . database syst .,2001,a unified framework for enforcing multiple access control policies,"e bertino , s jajodia , p samarati , vs subrahmanian","proceedings of acm sigmod conference on management of data , & hellip ; ,",
867,867,1,integrating sql databases with content-specific search engines,"s deпloch , n mattos",vldb,1997,integrating sql databases with content-specific search engines,"s dessloch , n mattos","proceedings of the international conference on very large & hellip ; ,",1997.0
868,868,0,hyperqueries : dynamic distributed query processing on the internet,"a kemper , c wiesner",vldb,2001,on the design of a distributed query processing strategy,"c yu , c chang , m templeton , d brill , e lund","proc . of the acm sigmod conf. , may ,",
869,869,1,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbarс , j couto , s jajodia , n wu",sigmod record,2001,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbara , j couto , s jajodia , n wu","sigmod record ,",2001.0
870,870,0,algorithms for materialized view design in data warehousing environment,"j yang , k karlapalem , q li",vldb,1997,a framework for designing materialized views in data warehousing environment,"j yang , k karlapalem , q li",,
871,871,0,answering queries using views : a survey,a halevy,vldb j.,2001,complexity of answering queries using materialized views,s abiteboul,,
872,872,0,efficient algorithms for minimizing tree pattern queries,p ramanan,sigmod conference,2002,optimization and dataflow algorithms for nested tree queries,m muralikrishna,"vldb ,",1989.0
873,873,0,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994,"singh : , ak efficient index structures for string databases",t kahveci,proc . of the international conference on very large data,
874,874,0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,a query model for object-oriented databases,w krm,proceedings of the international conference on very large,
875,875,1,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,query unnesting in object-oriented databases,l fegaras,,
876,876,0,online association rule mining,c hidber,sigmod conference,1999,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",
877,877,0,fast nearest neighbor search in medical image databases,"f korn , n sidiropoulos , c faloutsos , e siegel , z protopapas",vldb,1996,a cost model for nearest neighbor search in high-dimensional data space,"s berchtold , hp kriegel",,
878,878,0,querying structured text in an xml database,"s al-khalifa , c yu , h jagadish",sigmod conference,2003,browsing in a loosely structured database,a motro,"proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0
879,879,0,guest editorial,,,2002,editorial,dw aha,"artificial intelligence review ,",1997.0
880,880,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,operations and queries in object-oriented databases supporting complex objects,"n bhalla , s balasundaram","information and software technology ,",1993.0
881,881,1,dynamic resource brokering for multi-user query execution,"d davison , g graefe",sigmod conference,1995,dynamic resource allocation for multi-user query execution,dl davison,,1995.0
882,882,0,sampling large databases for association rules,h toivonen,vldb,1996,algorithms for mining association rules in bag databases,"py hsu , yl chen , cc ling","information sciencesâ ?? informatics and computer science : an & hellip ; ,",2004.0
883,883,1,efficient snapshot differential algorithms for data warehousing,"w labio , h garcia-molina",vldb,1996,h. garcia-m olina . efficient snapshot differential algorithms in data warehousing,w labio,"technical report , dept. of computer science , stanford university",
884,884,0,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"c tќrker , m gertz",vldb j.,2001,unisqlâ ?? s nextgeneration object-relational database management system,", p janus","acm sigmod record ,",1996.0
885,885,0,providing database migration tools - a practicioner s approach,a meier,vldb,1995,database de-centralization-a practical approach,t didriksen,"proceedings of the international conference on very large & hellip ; ,",1995.0
886,886,0,integrating triggers and declarative constraints in sql database sytems,"r cochrane , h pirahesh , n mattos",vldb,1996,integrating databases and workflow systems,"s shankar , a kini , dj dewitt , j naughton","sigmod record ,",2005.0
887,887,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,versions and configurations in object-oriented database systems : a uniform treatment,"l goldstein golendziner , c saraiva dos santos","proc . 7th . int . conf . on management of data ,",
888,888,0,"object-relational database systems : principles , products , and challenges ( tutorial )",,,1997,"database management systems : relational , object-relational , and object-oriented data models",ood models,,
889,889,0,efficient algorithms for processing xpath queries,"g gottlob , c koch , r pichler",vldb,2002,stream processing of xpath queries with predicates,"k ashish , s dan","proc . of the sigmod . acm ,",
890,890,0,the garlic project,"m roth , m arya , l haas , m carey , w cody , r fagin , p schwarz , j ii , e wimmers",sigmod conference,1996,the mitdice project,"d sriram , r logcher","ieee computer ,",
891,891,0,a new sql-like operator for mining association rules,"r meo , g psaila , s ceri",vldb,1996,mining fuzzy quantitative association rules,w zhang,,
892,892,1,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003,chain : operator scheduling for memory minimization in stream systems,"b brian , b shivnath , d mayur , m rajeev","proceedings , international conference on management of data & hellip ; ,",
893,893,0,guest editor s introduction,,,1998,guest editorâ ?? s introduction,tnd independence,"sigmod record ,",2003.0
894,894,0,optimizing queries with universal quantification in object-oriented and object-relational databases,"j clauпen , a kemper , g moerkotte , k peithner",vldb,1997,semantics and implementation of schema evolution in object-oriented databases,"j barnejee , w kim , hj kim , h korth","sigmod records ,",1987.0
895,895,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,evolution of data-base management systems,"jp fry , eh sibley","acm computing surveys ( csur ) ,",1976.0
896,896,0,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,birch : an efficient data clustering methodfor very large databases,"t zhang , r ramakrishnan , m livny","proc . acm sigmod intl. conf . on managementof data , pages103 & hellip ; ,",
897,897,0,efficient geometry-based similarity search of 3d spatial databases,d keim,sigmod conference,1999,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",
898,898,0,converting relational to object-oriented databases,j fong,sigmod record,1997,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han","vldb ,",1994.0
899,899,1,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , fd","acm transactions on database systems ,",2005.0
900,900,0,grid data management systems & services,,,2003,data grid management systems,"a jagatheesan , a rajasekar",,
901,901,0,an introduction to spatial database systems,r gќting,vldb j.,1994,a sophisticate s introduction to database normalization theory,"c beeri , pa bernstein , n goodman","vldb ,",1978.0
902,902,1,describing semistructured data,l cardelli,sigmod record,2001,describing semistructured data,l cardelli,"sigmod record ,",2001.0
903,903,0,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,an efficient algorithms for mining association rules in large databases . proceedings of the 21th,"a savasere , e miecinski , s navathe",,1995.0
904,904,0,on periodic resource scheduling for continuous-media databases,"m garofalakis , b жzden , a silberschatz",vldb j.,1998,resource scheduling for composite multimedia objects,"mn garofalakis , ye ioannidis , b oezden","proceedings of the international conference on very large & hellip ; ,",1998.0
905,905,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,"metu object-oriented database system , demo description",a dogac,"proceedings of acm sigmod intl. conf . on management of data , & hellip ; ,",
906,906,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,answermg queries m relational databases,"mm ad  atn , n spyratos","proc a cm sigmod int conference on management of data , san",
907,907,0,optimizing disjunctive queries with expensive predicates,"a kemper , g moerkotte , k peithner , m steinbrunn",sigmod conference,1994,optimization of predicates with user-defined predicates,"s chaudhuri , k shim","proceedings of 23rd international conference on very large & hellip ; ,",
908,908,1,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,data management issues in electronic commerce,mt oezsu,"sigmod record ,",1999.0
909,909,1,eddies : continuously adaptive query processing,"r avnur , j hellerstein",sigmod conference,2000,continuously adaptive query processing,"r avnur , jmh eddies",,2000.0
910,910,1,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )",,,2000,"biodiversity informatics : the challenge of rapid development , large databases , and complex data","m lane , j edwards , e nielsen","proc . 26th vldb conf ,",
911,911,0,hyperqueries : dynamic distributed query processing on the internet,"a kemper , c wiesner",vldb,2001,distributed processing of data dynamics,"c rolland , c richard","acm sigmod record ,",1982.0
912,912,0,data management for pervasive computing,"m cherniack , m franklin , s zdonik",vldb,2001,on data management in pervasive computing environments,f perich,"ieee transactions on knowledge and data engineering ,",2004.0
913,913,0,research in database engineering at the university of namur,j hainaut,sigmod record,2003,professor at the university of washington civil engineering department,s burges,"personal communication . seattle , washington ,",
914,914,0,dbcache : database caching for web application servers,"m altinel , q luo , s krishnamurthy , c mohan , h pirahesh , b lindsay , h woo , l brown",sigmod conference,2002,tutorial : caching technologies for web applications,c mohan,"27th international conference on very large data bases ( vldb & hellip ; ,",
915,915,0,temporal fds on complex objects,j wijsen,acm trans . database syst .,1999,implementation techniques of complex objects,"p valduriez , gp copeland","vldb ,",1986.0
916,916,0,metu object-oriented dbms,"a dogac , i arpinar , c evrendilek , c ozkan , i altintas , i durusoy , m altinel , t okay , y saygin",sigmod conference,1994,query unnesting in object-oriented databases,l fegaras,,
917,917,0,specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,1999,design and implementation of the hb1 hyperbase management system,"jl schnase , jj leggett , dl hicks , pj nuernberg , ja",,
918,918,0,fast parallel similarity search in multimedia databases,"s berchtold , c bіhm , b braunmќller , d keim , h kriegel",sigmod conference,1997,indexing multimedia databases,c faloutsos,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0
919,919,0,icicles : self-tuning samples for approximate query answering,"v ganti , m lee , r ramakrishnan",vldb,2000,join synopses for approximate query answering,"sa agpr , pb gibbons , v poosala , s ramaswamy",proceedings of the acm sigmod international conference on,
920,920,1,cache fusion : extending shared-disk clusters with shared caches,"t lahiri , v srihari , w chan , n macnaughton , s chandrasekaran",vldb,2001,cache fusion : extending shared-disk clusters with shared caches,"t lahiri , v srihari , w chan , n macnaughton , s","proceedings of the international conference on very large & hellip ; ,",2001.0
921,921,0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,cost of distributed deadlock detection : a performance study,an choudhary,,
922,922,1,approximate medians and other quantiles in one pass and with limited memory,"g manku , s rajagopalan , b lindsay",sigmod conference,1998,approximate medians and other quantiles in one pass and with limited memory,"gs manku , s rajagopalan , bg lindsay","sigmod conference ,",1998.0
923,923,0,delaunay : a database visualization system,"i cruz , m averbuch , w lucas , m radzyminski , k zhang",sigmod conference,1997,sap r/3 : a database application system,"a kemper , d kossmann","sigmod record ,",1998.0
924,924,0,storage and retrieval of xml data using relational databases,,,2001,a system for watermarking relational databases,"r agrawal , pj haas , j kiernan",,
925,925,0,dwms : data warehouse management system,n mohan,vldb,1996,panel : user interfaces and database management systems,"tl anderson , g ariav","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0
926,926,0,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,processing of continuous queries over unlimited data streams,"e vossough , jr getta",,
927,927,0,similarity query processing using disk arrays,"a papadopoulos , y manolopoulos",sigmod conference,1998,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim","the vldb journal the international journal on very large & hellip ; ,",2001.0
928,928,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,parallel data mining for association rules on shared-memory systems,"s parthasarathy , mj zaki , m ogihara , w li","knowledge and information systems ,",2001.0
929,929,0,materialized views selection in a multidimensional database,"e baralis , s paraboschi , e teniente",vldb,1997,querying multidimensional databases,"l cabibbo , r torlone",,
930,930,0,processing complex aggregate queries over data streams,"a dobra , m garofalakis , j gehrke , r rastogi",sigmod conference,2002,streaming queries over streaming data,"m franklin , s chandrasekaran","28th vldb conference , the international journal on vldb , & hellip ; ,",
931,931,0,databases for networks,h jagadish,sigmod conference,1994,data and databases,"c databases , d warehouses , ae technology , ip",,
932,932,0,fast algorithms for universal quantification in large databases,"g graefe , r cole",acm trans . database syst .,1995,validation algorithms for pointer values in dbtg databases,"bp da thomas , rj buhr","acm transactions on database systems ,",1977.0
933,933,0,adaptable similarity search using non-relevant information,"t ashwin , r gupta , s ghosal",vldb,2002,database search using information mining,"a kholsa , b kuhn , n soparkar","proceedings of the 1996 acm-sigmod international conference & hellip ; ,",
934,934,0,enhanced abstract data types in object-relational databases,p seshadri,vldb j.,1998,optimization of storage structures of complex types in object-relational database systems,"s skatulla , s dorendorf",,
935,935,0,explaining differences in multidimensional aggregates,s sarawagi,vldb,1999,idi : informative summarization of differences in multidimensional aggregates,s sarawagi,,
936,936,0,repositories and object oriented databases,p bernstein,sigmod record,1998,oz + : an object-oriented database system,"sp weiser , fh lochovsky","acm press frontier series ,",1989.0
937,937,0,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995,redo recovery principles,o background,"sigmod record ,",2002.0
938,938,0,design and implementation of a genetic-based algorithm for data mining,s choenni,vldb,2000,design and implementation of spatiotemporal database query processing system,"dh kim , kh ryu , ch park","journal of systems and software ,",2002.0
939,939,0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,deadlock prevention in a distributed database system,"pk reddy , s bhalla","acm sigmod record ,",1993.0
940,940,0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"r braumandl , j clauпen , a kemper",vldb,1998,garbage collection in object oriented databases using transactional cyclic reference counting,"s ashwin , p roy , s seshadri , a silberschatz , s","vldb ,",1997.0
941,941,0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"r braumandl , j clauпen , a kemper",vldb,1998,translating object-oriented database transactions into relational transactions,j fong,"information & software technology ,",2002.0
942,942,0,semantic caching of web queries,"b chidlovskii , u borghoff",vldb j.,2000,formal semantics of sql queries,"m negri , g pelagatti , l sbattella","acm transactions on database systems ,",1991.0
943,943,0,editor s notes,jennifer widom,sigmod record,1996,editorâ ?? s notes,gr maughan,"new directions for higher education ,",2001.0
944,944,1,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",vldb,1994,andc . faloutsos 1994 . hilbert r-tree : an improvedr-tree using fractals,i kamel,proc . 20th int . conf . on very large data,
945,945,0,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994,the database language gem,c zmwolo,"acm sigmod ,",
946,946,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,"high-dimensional index structures , proc","s berchtold , da keim","acm sigmod ,",
947,947,0,an introduction to spatial database systems,r gќting,vldb j.,1994,buer managementin relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",
948,948,0,"a response to r. camps  article  domains , relations and religious wars",c date,sigmod record,1996,"domains , relations and religious wars","s rcamp , i ls","sigmod record ,",1996.0
949,949,0,pbir - perception-based image retrieval,"e chang , t cheng , l chang",sigmod conference,2001,manifold-ranking based image retrieval,"j he , m li , hj zhang , h tong , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
950,950,0,guest editorial,,,2003,editorial,rr knight,"bt technology journal ,",1998.0
951,951,0,wavecluster : a multi-resolution clustering approach for very large spatial databases,"g sheikholeslami , s chatterjee , a zhang",vldb,1998,birch : an efficient data clustering method for very large databases,"t zhang , r ramakrishnan , m livny","sigmod conference ,",1996.0
952,952,1,managing memory for real-time queries,"h pang , m carey , m livny",sigmod conference,1994,managing memory for real-time queries,"hh pang , mj carey , m livny","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
953,953,1,data stream query processing : a tutorial,,,2003,data stream query processing : a tutorial,"n koudas , d srivastava","proceedings of the international conference on very large & hellip ; ,",2003.0
954,954,0,supporting top-k join queries in relational databases,"i ilyas , w aref , a elmagarmid",vldb,2003,evaluating top-k queries over web-accessible databases,"a marian , n bruno , l gravano","acm transactions on database systems ,",2004.0
955,955,0,the ccube constraint object-oriented database system,"a brodsky , v segal , j chen , p exarkhopoulo",sigmod conference,1999,"good , a graph-oriented database system","m gemis , j paredaens , i thyssens , jv bussche","proceedings of sigmod , sigmod",
956,956,0,on-line warehouse view maintenance,"d quass , j widom",sigmod conference,1997,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",
957,957,0,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,design criteria for distributed database systems,tl kunii,"vldb ,",1977.0
958,958,0,computing geographical scopes of web resources,"j ding , l gravano , n shivakumar",vldb,2000,a framework for categorizing and computing geographical locality for web resources,"c wang , x xie , z hua , l wang , y lu , wy ma",,
959,959,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,multimedia database management systems,a ghafoo17,"acm computing surveys ,",1995.0
960,960,0,interview with david maier,,,2002,interview with,e larson,"san diego ,",
961,961,0,timber : a native xml database,"h jagadish , s al-khalifa , a chapman , l lakshmanan , a nierman , s paparizos , j patel , d srivastava , n wiwatwattana , y wu , c yu",vldb j.,2002,timber : a native xml database for querying xml,"s paparizos , s al-khalifa , a chapman , hv jagadish ,","proc . of acm sigmod international conference on management & hellip ; ,",
962,962,0,foreword : management of semistructured data,,,1997,a fast index for semistructured data,"b cooper , n sample , mj franklin , gr hjaltason , m","vldb ,",2001.0
963,963,0,distributed processing over stand-alone systems and applications,"g alonso , c hagen , h schek , m tresch",vldb,1997,query processing in distributed mediated systems,"s adali , ks candan , y papakonstantinou , vs","proc . 1996 acm sigmod conf. , montreal , canada , june ,",
964,964,0,too much middleware,m stonebraker,sigmod record,2002,the middleware muddle,g huston,,
965,965,0,maintaining database consistency in presence of value dependencies in multidatabase systems,"c morpain , m cart , j ferriщ , j pons",sigmod conference,1996,"maintaining consistency in partitioned , replicated databases","a el abadi , s toueg","acm transactions on database systems ,",
966,966,0,guest editor s introduction,,,2002,guest editor s introduction : media spaces,g singh,,
967,967,0,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),,,2003,agent-oriented software engineering,nr jenningsâ ? ¦,"lecture notes in computer science ,",1999.0
968,968,0,open object database management systems,,,1994,object placement in parallel object-oriented database systems,"s ghandeharizadeh , d wilhite , k lin , x zhao",,
969,969,1,discovery of multiple-level association rules from large databases,"j han , y fu",vldb,1995,discovery of multiple-level association rules from large databases in proc . 1995 int,"j han , y fu","conf . very large data bases , zurich , switzerland , sept ,",
970,970,0,guest editorial,,,2001,editorial,"pj sheppard , gr walker","bt technology journal ,",1997.0
971,971,0,database management systems and the internet,s malaika,vldb,1996,data base management systems security and ingres,"d downs , gj popek","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0
972,972,0,efficient similarity search for market basket data,"a nanopoulos , y manolopoulos",vldb j.,2002,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",
973,973,0,constraint databases : a tutorial introduction,j bussche,sigmod record,2000,introduction to constraint databases,b kuijpers,"acm sigmod record ,",2002.0
974,974,1,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995,"the hbpi / - tree : a modified hb-tree supporting concurrency , recovery and node consolidation","b salzberg , d lomet , g evangelidis",,
975,975,1,book review column,k aberer,sigmod record,2002,book review column,l processing,"sigmod record ,",2002.0
976,976,0,the merge/purge problem for large databases,"m hernсndez , s stolfo",sigmod conference,1995,"andez , sj stolfo , the merge/purge problem for large databases",m hern,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",
977,977,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",,1994.0
978,978,0,constructing the next 100 database management systems,"a geppert , k dittrich",sigmod record,1994,numerical database management system : a model,ooa daini,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0
979,979,1,plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,"f cariёo , w oconnell",vldb,1998,plan-per-tuple optimization solution-parallel execution of expensive user-defined functions,"f carifio , woâ ?? connell",,
980,980,0,a logical foundation for deductive object-oriented databases,"m liu , g dobbie , t ling",acm trans . database syst .,2002,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges","sigmod record ,",1997.0
981,981,0,evaluating functional joins along nested reference sets in object-relational and object-oriented databases,"r braumandl , j clauпen , a kemper",vldb,1998,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0
982,982,0,editor s notes,m franklin,sigmod record,2000,editor s notes,nl smith,"new directions for program evaluation ,",1981.0
983,983,0,guest editor s introduction,,,2002,guest editorial,"jr gruser , l raschid , v zadorozhny","the vldb journal ,",2000.0
984,984,1,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold",vldb j.,1998,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"a mehta , j geller , y perl , e neuhold","the vldb journal the international journal on very large & hellip ; ,",1998.0
985,985,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,mining association rules,"r agrawal , r srikant","proc . of the 21 stvldb conf . zurich switzerland ,",
986,986,0,mining quantitative association rules in large relational tables,"r srikant , r agrawal",sigmod conference,1996,mining fuzzy quantitative association rules,w zhang,,
987,987,0,new sampling-based summary statistics for improving approximate query answers,"p gibbons , y matias",sigmod conference,1998,gibbons and . matias . new sampling-based summary statistics for improving approximate query answers,pb gm,proceedings of the acm sigmod international conference on,
988,988,0,power efficient data gathering and aggregation in wireless sensor networks,"h tan , i korpeoglu",sigmod record,2003,efficient content location in wireless ad hoc networks,"j tchakarov , n vaidya",,
989,989,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a visual language for object-oriented databases .,if cruz,"international conference on management of data ,",
990,990,1,coordinating backup/recovery and data consistency between database and file systems,"s bhattacharya , c mohan , k brannon , i narang , h hsiao , m subramanian",sigmod conference,2002,coordinated backup and recovery between database management systems and file systems,"i narang , c mohan , k brannon , m subramanian",,
991,991,0,infomaster : an information integration system,"m genesereth , a keller , o duschka",sigmod conference,1997,integrating modelling systems for environmental management information systems,"dj abel , k taylor , d kuo","sigmod record ,",1997.0
992,992,1,"ubiquitous , self-tuning , scalable servers",p spiro,sigmod conference,1998,"ubiquitous , self-tuning , scalable servers",p spiro,,
993,993,1,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,automatic discovery of language models for text documents,"j callan , m connell , a du","acm sigmod conference ,",
994,994,1,provision of market services for eco compliant electronic market places,"s arpinar , a dogac",sigmod record,2000,provision of market services for eco compliant electronic market places,"s arpinar , a dogac","sigmod record ,",2000.0
995,995,0,query optimization for xml,"j mchugh , j widom",vldb,1999,multi-query optimization,tk sellis,"acm trans . on database systems ,",
996,996,0,the algres testbed of chimera : an active object-oriented database system,"s ceri , p fraternali , s paraboschi , g psaila",sigmod conference,1995,the trigs active object-oriented database system-an overview .,acms anthology,"sigmod record ,",1998.0
997,997,0,efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997,on-line warehouse view maintenance for batch updates,"d quass , j widom","the acm sigmod conf ,",
998,998,0,querying multi-dimensional data indexed using the hilbert space-filling curve,"j lawder , p king",sigmod record,2001,querying high-dimensional data in single-dimensional space,"c yu , s bressan , bc ooi , kl tan","the vldb journal the international journal on very large & hellip ; ,",2004.0
999,999,1,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai","vldb ,",1995.0
1000,1000,0,dynamic information visualization,y ioannidis,sigmod record,1996,virtual worlds for visualizing information,s feiner,"ieee computer ,",1991.0
1001,1001,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,lore : a database management systemfor semistruc-tured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmodrecord ,",
1002,1002,0,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e oneil , p oneil",sigmod conference,1995,isolation levels,sql ansi,proc acm sigmod,
1003,1003,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,mining association rules between sets of items in large databases,"ra as941 , t imielinksi , a swami","proc . of the acm sigmod intâ ?? l conf . on management of data , & hellip ; ,",
